periodo,uf,n_amostral,n_amostral_cp,n_amostral_nano,total_cp_estimado,total_nano_estimado,ic95_low,ic95_high,cv_pct,share_nano_em_cp,mei_ativos_total,taxa_formalizacao_aprox,informais_aprox,observacao_mei_maior_nano
2025T2,SE,8934,901,813,231762.21305653,201623.45530713,182760.11492618034,220486.79568807967,4.77,0.87,78559,0.3896,123064.0,False
2025T2,MS,9971,1112,760,306741.67842911,200652.5056023,180140.53166855645,221164.47953604354,5.22,0.6541,166607,0.8303,34046.0,False
2025T2,DF,8573,833,564,284535.38357860997,188160.97023081,167056.86265071962,209265.07781090037,5.72,0.6613,191293,1.0,0.0,True
2025T2,TO,7381,806,658,157770.69628337998,123344.90516118,110541.1108278317,136148.6994945283,5.3,0.7818,78784,0.6387,44561.0,False
2025T2,AP,4338,542,483,97709.67694922001,86758.55511208001,72475.51470629267,101041.59551786735,8.4,0.8879,16812,0.1938,69947.0,False
2025T2,AC,9292,790,683,70415.94873962,60932.31846425,54876.31876899049,66988.31815950951,5.07,0.8653,19743,0.324,41189.0,False
2025T2,RR,5643,646,582,68937.11956042,60309.01752648,51550.33997016054,69067.69508279946,7.41,0.8748,21020,0.3485,39289.0,False
2025T3,SP,38423,5015,3346,5884196.377817869,3748964.74942158,3553764.0720137754,3944165.426829385,2.66,0.6371,3615741,0.9645,133224.0,False
2025T3,MG,36801,4666,3619,2609830.1320022,1989972.64434622,1875906.069037684,2104039.2196547557,2.92,0.7625,1445957,0.7266,544016.0,False
2025T3,RJ,34170,4378,3354,2277649.3424702,1709652.0731187,1529073.7965800802,1890230.3496573197,5.39,0.7506,1215341,0.7109,494311.0,False
2025T3,BA,23339,2996,2729,1859053.6045079501,1667436.77960217,1570298.034983454,1764575.524220886,2.97,0.8969,609487,0.3655,1057950.0,False
2025T3,PA,17875,2582,2349,1132882.17730388,1030889.0567274101,963923.6072579809,1097854.5061968393,3.31,0.91,227056,0.2203,803833.0,False
2025T3,CE,23508,2637,2425,1076687.23453916,978899.90981757,922143.7007870543,1035656.1188480858,2.96,0.9092,343829,0.3512,635071.0,False
2025T3,PR,27541,3722,2509,1514927.70019204,978276.68778477,918971.7111380371,1037581.6644315029,3.09,0.6458,889895,0.9097,88382.0,False
2025T3,RS,25615,3695,2497,1414042.32541692,946981.09684502,890311.9411665383,1003650.2525235016,3.05,0.6697,810758,0.8562,136223.0,False
2025T3,MA,31677,4170,3931,898605.48294194,830259.1681165199,788935.3018219551,871583.0344110847,2.54,0.9239,136408,0.1643,693851.0,False
2025T3,PE,19124,1801,1590,939323.8788073,824131.1343340501,768728.9620593117,879533.3066087886,3.43,0.8774,365438,0.4434,458693.0,False
